country,continent,area,population,gdp
Afghanistan,Asia,652230,25500100,20364000000
Albania,Europe,28748,2821977,12044000000
Algeria,Africa,2381741,38700000,207021000000
Andorra,Europe,468,76098,3222000000
Angola,Africa,1246700,19183590,116308000000
Antigua and Barbuda,Caribbean,442,86295,1176000000
Argentina,South America,2780400,42669500,477028000000
Armenia,Eurasia,29743,3017400,9950000000
Australia,Oceania,7692024,23545500,1564419000000
Austria,Europe,83871,8504850,394458000000
Azerbaijan,Asia,86600,9477100,68727000000
Bahrain,Asia,765,1234571,30362000000
Bangladesh,Asia,147570,156557000,127195000000
Barbados,Caribbean,430,285000,4533000000
Belarus,Europe,207600,9467000,63259000000
Belgium,Europe,30528,11198638,483402000000
Belize,North America,22966,349728,1554000000
Benin,Africa,112622,9988068,7557000000
Bhutan,Asia,38394,749090,1861000000
Bolivia,South America,1098581,10027254,27035000000
Bosnia and Herzegovina,Europe,51209,3791622,17319000000
Botswana,Africa,582000,2024904,14410000000
Brazil,South America,8515767,202794000,2254109000000
Brunei,Asia,5765,393162,16954000000
Bulgaria,Europe,110879,7245677,50972000000
Burkina Faso,Africa,272967,17322796,10687000000
Burundi,Africa,27834,9420248,2257000000
Cambodia,Asia,181035,15184116,14038000000
Cameroon,Africa,475442,20386799,26094000000
Canada,North America,9984670,35427524,1585000000000
Cape Verde,Africa,4033,491875,1903000000
Central African Republic,Africa,622984,4709000,2184000000
Chad,Africa,1284000,13211000,10183000000
Chile,South America,756102,17773000,268314000000
China,Asia,9596961,1365370000,8358400000000
Colombia,South America,1141748,47662000,369813000000
Comoros,Africa,1862,743798,616000000
Costa Rica,North America,51100,4667096,45107000000
Croatia,Europe,56594,4290612,56447000000
Cuba,Caribbean,109884,11167325,71017000000
Cyprus,Asia,9251,865878,22768000000
Czech Republic,Europe,78865,10517400,196446000000
Denmark,Europe,43094,5634437,314889000000
Djibouti,Africa,23200,886000,1361000000
Dominica,Caribbean,751,71293,499000000
Dominican Republic,Caribbean,48671,9445281,58898000000
Ecuador,South America,276841,15774200,87495000000
Egypt,Asia,1002450,86736900,254671000000
El Salvador,North America,21041,6384000,23864000000
Equatorial Guinea,Africa,28051,1622000,14491000000
Eritrea,Africa,117600,6536000,3108000000
Estonia,Europe,45227,1315819,22376000000
Ethiopia,Africa,1104300,87952991,41605000000
Fiji,Oceania,18272,858038,3999000000
Finland,Europe,338424,5458038,247389000000
France,Europe,640679,65906000,2611221000000
Gabon,Africa,267668,1711000,24076000000
Georgia,Asia,69700,4490500,15830000000
Germany,Europe,357114,80716000,3425956000000
Ghana,Africa,238533,27043093,40711000000
Greece,Europe,131990,11123034,248941000000
Grenada,Caribbean,344,103328,783000000
Guatemala,North America,108889,15806675,50377000000
Guinea,Africa,245857,10824200,6092000000
Guinea-Bissau,Africa,36125,1746000,849000000
Guyana,South America,214969,784894,2851000000
Haiti,Caribbean,27750,10413211,7187000000
Honduras,North America,112492,8555072,18564000000
Hungary,Europe,93028,9879000,124600000000
Iceland,Europe,103000,326340,13579000000
